RowId,Location
1,67.2232875824
2,36.8339538574
3,29.3872318268
4,36.2045173645
5,60.7610549927
6,37.4315042496
7,73.6659393311
8,38.0588922501
9,36.2479248047
10,37.4225206375
11,22.9430036545
12,37.401506424
13,58.194196701
14,27.3444328308
15,80.2570152283
16,29.2424154282
17,38.9287662506
18,27.132027626
19,16.0129108429
20,28.6842470169
21,49.2649154663
22,52.7529029846
23,63.024679184
24,75.4350986481
25,33.1793804169
26,75.1530818939
27,48.2283840179
28,68.6779975891
29,48.2742576599
30,83.5647239685
31,66.9008102417
32,36.2407722473
33,28.5083312988
34,37.625658989
35,59.9941120148
36,37.7026576996
37,74.0075340271
38,36.6841449738
39,35.6478939056
40,38.3166189194
41,21.1885757446
42,38.8608055115
43,56.6838970184
44,29.4253234863
45,79.6648635864
46,28.2603635788
47,37.5083284378
48,30.1589927673
49,13.6692552567
50,31.6641998291
51,49.5203876495
52,57.554769516
53,65.7982463837
54,74.7336273193
55,33.9496536255
56,76.0460357666
57,49.9523735046
58,72.4944992065
59,50.3508338928
60,84.1075973511
61,65.2274723053
62,37.4710664749
63,30.9569377899
64,37.9333362579
65,59.7369346619
66,38.2914619446
67,71.3499984741
68,38.0920915604
69,37.1714344025
70,38.5251989365
71,24.740401268
72,38.8527317047
73,56.6728935242
74,30.1948957443
75,77.0741386414
76,30.5165920258
77,39.7305936813
78,30.2541618347
79,18.1180915833
80,31.6834945679
81,49.3437423706
82,56.1019992828
83,62.6613407135
84,74.6672973633
85,35.0545120239
86,74.8861427307
87,49.1115646362
88,70.3226451874
89,48.9863948822
90,81.5919799805
91,65.1971054077
92,37.9312391281
93,29.9486646652
94,39.4227676392
95,58.9737052917
96,38.7316846848
97,71.9641571045
98,38.8519277573
99,36.5326280594
100,39.5866527557
101,23.523768425
102,40.8608150482
103,55.1453361511
104,29.7392921448
105,77.2377490997
106,30.2382745743
107,38.1525735855
108,30.3256645203
109,16.8889403343
110,33.3771085739
111,47.7568244934
112,54.2893009186
113,63.7722129822
114,75.7609062195
115,34.6725597382
116,77.1304664612
117,48.7600307465
118,70.8915653229
119,48.9591464996
120,82.2692928314
121,66.5067272186
122,36.8334932327
123,28.4059410095
124,38.399848938
125,60.4760856628
126,37.5337572098
127,73.1664676666
128,37.5977067947
129,34.7209796906
130,38.3004369736
131,22.0318779945
132,39.7797317505
133,56.9914627075
134,27.8063392639
135,79.1920051575
136,28.5597896576
137,36.9308710098
138,28.7197809219
139,14.2273035049
140,31.9783000946
141,48.7859287262
142,54.1957969666
143,64.9545879364
144,74.6716690063
145,34.4182519913
146,75.9962081909
147,49.4138088226
148,68.9693813324
149,49.788225174
150,84.4705467224
151,66.6825656891
152,37.070889473
153,28.9094266891
154,37.1937990189
155,59.6655349731
156,37.8271064758
157,73.8376579285
158,38.2263450623
159,36.0202531815
160,38.0413570404
161,21.8786058426
162,38.4475421906
163,56.6873531342
164,29.0769939423
165,80.0866184235
166,29.990272522
167,38.0717983246
168,29.1661148071
169,15.1300764084
170,30.4805574417
171,47.6248855591
172,54.5483894348
